Index,Symbol,Name
1010,DEMCHF=X,DEM/CHF
1011,DKKGIP=X,DKK/GIP
1012,DJFCHF=X,DJF/CHF
1013,DKKBRL=X,DKK/BRL
1014,DOPUSD=X,DOP/USD
1015,DOPDKK=X,DOP/DKK
1016,DKKOMR=X,DKK/OMR
1017,DKKMUR=X,DKK/MUR
1018,DZDGBP=X,DZD/GBP
1019,DKKPKR=X,DKK/PKR
1020,DJFUSD=X,DJF/USD
1021,DKKIDR=X,DKK/IDR
1022,DKKRSD=X,DKK/RSD
1023,DKK=X,USD/DKK
1024,DOPCHF=X,DOP/CHF
1025,DKKAED=X,DKK/AED
1026,DKKUAH=X,DKK/UAH
1027,DKKTHB=X,DKK/THB
1028,DKKLVL=X,DKK/LVL
1029,DKKLTL=X,DKK/LTL
1030,DKKAUD=X,DKK/AUD
1031,MKDDKK=X,MKD/DKK
1032,DKKPLN=X,DKK/PLN
1033,DJF=X,USD/DJF
1034,DKKSEK=X,DKK/SEK
1035,DKKCAD=X,DKK/CAD
1036,DZDMAD=X,DZD/MAD
1037,DKKKPW=X,DKK/KPW
1038,DZDEUR=X,DZD/EUR
1039,DKKBGN=X,DKK/BGN
1040,DKKNOK=X,DKK/NOK
1041,DKKEUR=X,DKK/EUR
1042,DKKXDR=X,DKK/XDR
1043,DKKLKR=X,DKK/LKR
1044,DJFEUR=X,DJF/EUR
1045,DKKUSD=X,DKK/USD
1046,DKKANG=X,DKK/ANG
1047,DKKGBP=X,DKK/GBP
1048,DKKNZD=X,DKK/NZD
1049,DKKRUB=X,DKK/RUB
1050,DKKISK=X,DKK/ISK
1051,DKKILS=X,DKK/ILS
1052,DZD=X,USD/DZD
1053,DOP=X,USD/DOP
1054,DKKKES=X,DKK/KES
1055,DKKZAR=X,DKK/ZAR
1056,DKKCNY=X,DKK/CNY
1057,DKKEGP=X,DKK/EGP
1058,DKKMAD=X,DKK/MAD
1059,EURUSD=X,EUR/USD
1060,EURGBP=X,EUR/GBP
1061,EURJPY=X,EUR/JPY
1062,EURCHF=X,EUR/CHF
1063,EURSYP=X,EUR/SYP
1064,EURSOS=X,EUR/SOS
1065,EURAUD=X,EUR/AUD
1066,ECS=X,USD/ECS
1067,EURYER=X,EUR/YER
1068,EURVND=X,EUR/VND
1069,EURUGX=X,EUR/UGX
1070,EURSBD=X,EUR/SBD
1071,EURRSD=X,EUR/RSD
1072,EURPLN=X,EUR/PLN
1073,EURPAB=X,EUR/PAB
1074,EURNZD=X,EUR/NZD
1075,EURNPR=X,EUR/NPR
1076,EURMYR=X,EUR/MYR
1077,EURMWK=X,EUR/MWK
1078,EURMVR=X,EUR/MVR
1079,EURMRO=X,EUR/MRO
1080,EURMDL=X,EUR/MDL
1081,EURLKR=X,EUR/LKR
1082,EURLAK=X,EUR/LAK
1083,EURCZK=X,EUR/CZK
1084,EUR=X,USD/EUR
1085,EGPZAR=X,EGP/ZAR
1086,EGPTRY=X,EGP/TRY
1087,EGPMXN=X,EGP/MXN
1088,EGPKRW=X,EGP/KRW
1089,EGPILS=X,EGP/ILS
1090,EGPHUF=X,EGP/HUF
1091,EURBSD=X,EUR/BSD
1092,EURISK=X,EUR/ISK
1093,EURZAR=X,EUR/ZAR
1094,EGPINR=X,EGP/INR
1095,EUR-GBP.F,EUR-GBP.F
1096,EUR-MWK.F,EUR-MWK.F
1097,EUR-SVC.F,EUR-SVC.F
1098,EURMKD=X,EUR/MKD
1099,EURBAM=X,EUR/BAM
1100,EURBGN=X,EUR/BGN
1101,EUR-HUF.F,EUR-HUF.F
1102,EURPKR=X,EUR/PKR
1103,EUR-LVL.F,EUR-LVL.F
1104,EURKRW=X,EUR/KRW
1105,EURAOA=X,EUR/AOA
1106,EUR-TTD.F,EUR-TTD.F
1107,ETBCHF=X,ETB/CHF
1108,EURSVC=X,EUR/SVC
1109,EGPJPY=X,EGP/JPY
1110,EURCRC=X,EUR/CRC
1111,EUR-UZS.F,EUR-UZS.F
1112,EUR-HTG.F,EUR-HTG.F
1113,EURAED=X,EUR/AED
1114,EURBIF=X,EUR/BIF
1115,EUR-MMK.F,EUR-MMK.F
1116,EURLVL=X,EUR/LVL
1117,EGPNZD=X,EGP/NZD
1118,EUR-OMR.F,EUR-OMR.F
1119,EUR-PHP.F,EUR-PHP.F
1120,EURGTQ=X,EUR/GTQ
1121,EGPGBP=X,EGP/GBP
1122,EGPAED=X,EGP/AED
1123,EUR-CNY.F,EUR-CNY.F
1124,EUR-EGP.F,EUR-EGP.F
1125,EURALL=X,EUR/ALL
1126,EUR-MAD.F,EUR-MAD.F
1127,EURCAD=X,EUR/CAD
1128,EURCYP=X,EUR/CYP
1129,EURPYG=X,EUR/PYG
1130,EGPAUD=X,EGP/AUD
1131,EUR-YER.F,EUR-YER.F
1132,EUR-HNL.F,EUR-HNL.F
1133,EGPNOK=X,EGP/NOK
1134,EURTOP=X,EUR/TOP
1135,EGPKWD=X,EGP/KWD
1136,EUR-PGK.F,EUR-PGK.F
1137,EURAMD=X,EUR/AMD
1138,EUR-MGA.F,EUR-MGA.F
1139,EURXPF=X,EUR/XPF
1140,EURZMW=X,EUR/ZMW
1141,ETB=X,USD/ETB
1142,EGPSGD=X,EGP/SGD
1143,EUR-SDG.F,EUR-SDG.F
1144,EGPUSD=X,EGP/USD
1145,ERN=X,USD/ERN
1146,EGPKES=X,EGP/KES
1147,EUR-NPR.F,EUR-NPR.F
1148,EURCUP=X,EUR/CUP
1149,EURNAD=X,EUR/NAD
1150,EURSAR=X,EUR/SAR
1151,EGPMAD=X,EGP/MAD
1152,EUREGP=X,EUR/EGP
1153,EURMMK=X,EUR/MMK
1154,EUR-GYD.F,EUR-GYD.F
1155,EUR-BHD.F,EUR-BHD.F
1157,EUR-SZL.F,EUR-SZL.F
1158,EUR-KRW.F,EUR-KRW.F
1159,EGPQAR=X,EGP/QAR
